category,description,len
Art,B'nisl' b'eu' b'ad' b'sit' b'et'.,33
Law,B'ante' b'in'.,14
Sex,B'amet' b'mi' b'a' b've' b'dolor' b'a'.,39
War,B'nunc' b'eu' b'egestas' b'magna' b'urna' b'a' b'a' b'a' b'a'.,62
Men,B'nisi' b've'.,14
Boys,B'amet' b'in' b'a' b'a' b'a' b'orci' b'a' b'a' b'integer'.,58
Love,B'amet' b'et' b'a' b'leo' b'fusce' b'aptent' b'nam' b'justo' b'nostra' b'a' b'dui' b'tellus'.,93
Dead,B'enim' b'in' b'a'.,19
Cats,B'eget' b'eu' b'a' b'sem' b'ad'.,32
Pets,B'orci' b'ad'.,14
Jews,B'amet' b'eu' b'a' b'a'.,24
Drama,B'elit' b've' b'a'.,19
Birds,B'urna' b'et' b've'.,20
Games,B'eget' b'eu' b'a' b'neque' b'a' b'odio' b'a' b'vel' b'a'.,58
Blind,B'odio' b'ac' b'a' b'a' b'dictum' b'a' b'porta' b'sollicitudin' b'nisi'.,72
Aging,B'urna' b'et' b'a' b'augue' b'ad' b'a' b'at' b'a' b'aptent' b'elit' b'at' b'a' b'per' b'ligula' b'eu' b'nibh'.,110
Books,B'amet' b'et'.,14
India,B'enim' b've' b'a' b'mi' b'a' b'a' b'vel' b'a' b'enim'.,55
Egypt,B'elit' b'mi' b'urna' b'a' b'a' b'in' b'sed'.,45
Bible,B'eros' b'ut' b'nisl' b'ad' b'a' b'a' b'est' b'erat' b'hac' b'a' b'ut' b'montes' b'sapien' b'a' b'sapien'.,106
Humor,B'quis' b'id' b'ut' b'molestie' b'a' b'mauris'.,47
Candy,B'erat' b'ut' b'a' b'a' b'a' b'a' b'a' b'duis' b'est' b'a'.,59
China,B'erat' b've' b'pretium' b'risus' b've' b'sociis' b'a' b'arcu'.,63
Gangs,B'ante' b'mi' b'a'.,19
Death,B'nunc' b'in'.,14
Magic,B'pede' b'at' b'commodo' b'a' b've' b'odio'.,44
Anger,B'orci' b'ut' b'eu' b'orci' b'a' b'a' b'a' b'quam'.,51
Cults,B'odio' b'in' b'a' b'vitae' b'consectetuer' b'quis' b'luctus' b'a'.,67
Music,B'nibh' b'at' b'a' b'a' b'aenean' b'at' b'a'.,45
Japan,B'odio' b'ac' b'a' b'taciti' b'sodales' b'a' b'sed' b'a' b'porta' b'eros' b'hac' b'tellus' b'at' b'a'.,102
Amish,B'quis' b'et' b'in' b'eu' b'maecenas' b'risus' b'cras' b'dis'.,62
Girls,B'cras' b've'.,14
Elves,B'quam' b'eu' b'a' b'a' b'a' b'eu' b'arcu' b'a' b'a' b'hymenaeos'.,66
Murder,B'eros' b'eu' b'cubilia' b'a' b'tempor' b'in' b'aptent' b'taciti' b'consectetuer'.,82
Bibles,B'nisi' b'id' b'nibh' b'a' b'a' b'sem' b'magnis'.,49
Poetry,B'eget' b'ac' b'a'.,19
Essays,B'elit' b'at'.,14
Comedy,B'enim' b'id' b'a' b'a' b've' b'a'.,35
Design,B'quis' b'eu'.,14
Nature,B'arcu' b'ac' b'ad' b'nec' b'ipsum' b'a'.,41
Actors,B'nisl' b'at'.,14
Cancer,B'diam' b'id'.,14
Autism,B'elit' b'mi' b'gravida' b'proin' b'pede' b'tortor' b'a' b'ut' b'montes' b'velit' b'sem' b'a' b'nec'.,101
Travel,B'erat' b'mi' b'a' b'a' b'a' b'phasellus' b'pellentesque' b'quam' b'est'.,73
Blacks,B'enim' b'ad'.,14
Heroes,B'eros' b'in' b'ut' b'est' b'mi' b'potenti' b'magna' b'a' b'a' b'ut' b'luctus' b'eros' b'dui' b'a' b'a' b'eu'.,110
Europe,B'quam' b'id' b'a' b'a' b'a' b'tellus' b'facilisis' b'commodo' b'a' b'sit'.,75
Canada,B'odio' b'et' b'ut' b'et' b'dui'.,33
France,B'cras' b'ut'.,14
Horror,B'cras' b'eu' b'a' b'a' b'a' b'integer' b'vel' b'a'.,52
Family,B'quam' b'in' b'ad' b'odio' b'sit' b'a'.,40
Acting,B'eget' b'eu' b'a' b'mi' b'sociis' b'semper'.,45
Dreams,B'orci' b've' b'a' b'quam' b'ad' b've' b'amet' b'est' b'a' b'a' b'vulputate'.,77
Clergy,B'erat' b'at' b'a' b'mauris' b'per' b've' b'mattis' b'a'.,57
Queens,B'quis' b'ac'.,14
