isbn,hall,bookcase,shelf,numbers
9780002005883,1,1,1,4
9780002261982,1,1,1,4
9780006163831,1,1,1,3
9780006178736,1,1,1,3
9780006280897,1,1,1,3
9780006280934,1,1,1,4
9780006380832,1,1,1,2
9780006470229,1,1,1,3
9780006480099,1,1,2,4
9780006482079,1,1,2,1
9780006483014,1,1,2,5
9780006483892,1,1,2,1
9780006490456,1,1,2,5
9780006496434,1,1,2,2
9780006496878,1,1,2,4
9780006496892,1,1,3,5
9780006496922,1,1,3,5
9780006499169,1,1,3,2
9780006499268,1,1,3,3
9780006499626,1,1,3,4
9780006511489,1,1,3,1
9780006512677,1,1,3,1
9780006514640,1,1,3,1
9780006551393,1,1,3,2
9780006551812,1,1,3,1
9780006754893,1,1,3,1
9780007103676,1,1,4,2
9780007105045,1,1,4,5
9780007111503,1,1,4,5
9780007116263,1,1,4,4
9780007117536,1,1,4,1
9780007119332,1,1,4,1
9780007119356,1,1,4,5
9780007120680,1,1,4,4
9780007120697,1,1,4,4
9780007120819,1,1,4,3
9780007120864,1,1,4,1
9780007120871,1,1,4,1
9780007120963,1,1,5,3
9780007120987,1,1,5,5
9780007121007,1,1,5,5
9780007121014,1,1,5,3
9780007121021,1,1,5,4
9780007124015,1,1,5,3
9780007126903,1,1,6,5
9780007130313,1,1,6,2
9780007136582,1,1,6,4
9780007136599,1,1,6,3
9780007137336,1,1,6,1
9780007149124,1,1,6,3
9780007149612,1,1,6,3
9780007149827,1,1,7,4
9780007150304,1,1,7,2
9780007151240,1,1,7,1
9780007153589,1,1,7,4
9780007154845,1,1,7,5
9780007154883,1,1,7,2
9780007158058,1,1,7,3
9780007158515,1,1,7,5
9780007158522,1,1,7,1
9780007162994,1,1,7,4
9780007171996,1,1,7,5
9780007173020,1,1,8,5
9780007173136,1,1,8,4
9780007179817,1,1,8,2
9780007179824,1,1,8,3
9780007189953,1,1,8,1
9780007191925,1,1,8,4
9780007195305,1,1,8,5
9780007195718,1,1,8,4
9780007204441,1,1,8,4
9780007204465,1,1,8,4
9780007205585,1,2,1,4
9780020199854,1,2,1,4
9780020264736,1,2,1,2
9780020360759,1,2,1,4
9780020442608,1,2,1,3
9780020518600,1,2,1,4
9780020867401,1,2,1,4
9780024181909,1,2,1,4
9780024266408,1,2,1,1
9780027054903,1,2,1,5
9780027897500,1,2,1,2
9780029221303,1,2,1,5
9780029227961,1,2,1,1
9780030420566,1,2,1,2
9780030547744,1,2,1,4
9780060000141,1,2,1,3
9780060004507,1,2,1,1
9780060005696,1,2,1,5
9780060009427,1,2,1,2
9780060012342,1,2,1,3
9780060012380,1,2,1,2
9780060013134,1,2,1,5
9780060084387,1,2,1,3
9780060085490,1,2,1,5
9780060088743,1,2,1,3
9780060090371,1,2,2,2
9780060093747,1,2,2,3
9780060094935,1,2,2,1
9780060175641,1,2,2,2
9780060177249,1,2,2,3
9780060192501,1,2,2,4
9780060192778,1,2,2,4
9780060218058,1,2,2,4
9780060245603,1,2,2,2
9780060256753,1,2,2,2
9780060277406,1,2,2,5
9780060278427,1,2,2,2
9780060391539,1,2,2,4
9780060502959,1,2,2,3
9780060504083,1,2,2,4
9780060507404,1,2,2,3
9780060509057,1,2,2,5
9780060510855,1,2,2,5
9780060510862,1,2,2,5
9780060511067,1,2,2,1
9780060511104,1,2,3,5
9780060511111,1,2,3,1
9780060511135,1,2,3,3
9780060511142,1,2,3,1
9780060513092,1,2,3,1
9780060515225,1,2,3,2
9780060516055,1,2,3,3
9780060518653,1,2,3,5
9780060521226,1,2,3,2
9780060521998,1,2,3,5
9780060524937,1,2,3,4
9780060525101,1,2,3,3
9780060525118,1,2,3,5
9780060529574,1,2,3,5
9780060531041,1,2,3,1
9780060535117,1,2,3,5
9780060539252,1,2,3,5
9780060540944,1,2,3,2
9780060541811,1,2,4,2
9780060541835,1,2,4,1
9780060541880,1,2,4,2
9780060542382,1,2,4,5
9780060543495,1,2,4,1
9780060545840,1,2,4,1
9780060546571,1,2,4,4
9780060554736,1,2,4,5
9780060556501,1,2,4,4
9780060564780,1,2,4,2
9780060566104,1,2,4,4
9780060567231,1,2,4,4
9780060570583,1,2,4,3
9780060572006,1,2,4,3
9780060572976,1,2,4,3
9780060574215,1,2,4,4
9780060575816,1,2,4,5
9780060577049,1,2,4,1
9780060578114,1,2,4,1
9780060578121,1,2,4,4
9780060580339,1,2,4,2
9780060582500,1,2,4,4
9780060584023,1,2,5,4
9780060584757,1,2,5,2
9780060586546,1,2,5,1
9780060587031,1,2,5,1
9780060589288,1,2,5,5
9780060590154,1,2,5,5
9780060590277,1,2,5,1
9780060593247,1,2,5,4
9780060593636,1,2,5,2
9780060594527,1,2,5,3
9780060595180,1,2,5,2
9780060598808,1,2,5,1
9780060598846,1,2,5,3
9780060598853,1,2,5,2
9780060598891,1,2,5,4
9780060598976,1,2,5,5
9780060609177,1,2,5,4
9780060609191,1,2,5,4
9780060645892,1,2,5,2
9780060652852,1,2,5,1
9780060652890,1,2,5,4
9780060652920,1,2,5,5
9780060654856,1,2,5,2
9780060725143,1,2,5,2
9780060727536,1,2,5,3
9780060727635,1,2,5,1
9780060730550,1,2,5,1
9780060731304,1,2,5,3
9780060733353,1,2,6,1
9780060734015,1,2,6,4
9780060735425,1,2,6,4
9780060735449,1,2,6,4
9780060735456,1,2,6,3
9780060736255,1,2,6,3
9780060737047,1,2,6,3
9780060739423,1,2,6,3
9780060745905,1,2,6,3
9780060747220,1,2,6,4
9780060747473,1,2,6,3
9780060747480,1,2,6,4
9780060751647,1,2,6,3
9780060753108,1,2,6,1
9780060753634,1,2,6,4
9780060754006,1,2,6,4
9780060758769,1,2,6,2
9780060760250,1,2,6,1
9780060760441,1,2,6,2
9780060760823,1,2,6,3
9780060761530,1,2,6,1
9780060763725,1,2,6,5
9780060765453,1,2,6,5
9780060765484,1,3,1,4
9780060766740,1,3,1,5
9780060773755,1,3,1,3
9780060775858,1,3,1,5
9780060777104,1,3,1,1
9780060777333,1,3,1,1
9780060778019,1,3,1,3
9780060782139,1,3,1,2
9780060786731,1,3,1,2
9780060788193,1,3,1,2
9780060788384,1,3,1,1
9780060790592,1,3,1,2
9780060792787,1,3,1,4
9780060792800,1,3,1,2
9780060793197,1,3,1,3
9780060815523,1,3,1,5
9780060815929,1,3,1,1
9780060816223,1,3,1,4
9780060819224,1,3,2,2
9780060823726,1,3,2,2
9780060833176,1,3,2,1
9780060833183,1,3,2,3
9780060834005,1,3,2,5
9780060837334,1,3,2,4
9780060837556,1,3,2,4
9780060839789,1,3,2,1
9780060840884,1,3,2,3
9780060841867,1,3,2,3
9780060844097,1,3,2,5
9780060845308,1,3,3,4
9780060850524,1,3,3,2
9780060851989,1,3,3,5
9780060852559,1,3,3,3
9780060853983,1,3,3,2
9780060854096,1,3,3,4
9780060872793,1,3,3,1
9780060880125,1,3,3,4
9780060882600,1,3,3,1
9780060882815,1,3,3,3
9780060884055,1,3,3,2
9780060885373,1,3,3,2
9780060885380,1,3,3,1
9780060885427,1,3,3,5
9780060885434,1,3,3,4
9780060885458,1,3,3,2
9780060887964,1,3,3,2
9780060889449,1,3,3,3
9780060891565,1,3,4,1
9780060894085,1,3,4,5
9780060898656,1,3,4,5
9780060899226,1,3,4,1
9780060906825,1,3,4,5
9780060913076,1,3,4,5
9780060915186,1,3,4,4
9780060915414,1,3,4,2
9780060916466,1,3,4,1
9780060916497,1,3,4,4
9780060916510,1,3,4,5
9780060916817,1,3,4,5
9780060920081,1,3,4,5
9780060920647,1,3,5,3
9780060921712,1,3,5,3
9780060922559,1,3,5,1
9780060924980,1,3,5,5
9780060925758,1,3,5,2
9780060926960,1,3,5,2
9780060927196,1,3,5,4
9780060927516,1,3,5,1
9780060927547,1,3,5,3
9780060928414,1,3,5,3
9780060929596,1,3,5,4
9780060929602,1,3,5,5
9780060929879,1,3,5,3
9780060930059,1,3,5,2
9780060930134,1,3,5,2
9780060930318,1,3,5,4
9780060930530,1,3,5,3
9780060930868,1,3,6,5
9780060931360,1,3,6,4
9780060931674,1,3,6,1
9780060931803,1,3,6,4
9780060931957,1,3,6,5
9780060932664,1,3,6,1
9780060933524,1,3,6,3
9780060934439,1,3,6,1
9780060934545,1,3,6,1
9780060934910,1,3,6,5
9780060935559,1,3,6,2
9780060936198,1,3,6,1
9780060936501,1,3,6,1
9780060936648,1,3,6,5
9780060936662,1,3,6,4
9780060938109,1,3,6,1
9780060954833,1,3,6,1
9780060956868,1,3,7,5
9780060957261,1,3,7,1
9780060957353,1,3,7,5
9780060957605,1,3,7,5
9780060958336,1,3,7,3
9780060959036,1,3,7,3
9780060964047,1,3,7,3
9780060973339,1,3,7,1
9780060974688,1,3,7,4
9780060974992,1,3,7,2
9780060975005,1,3,7,2
9780060975944,1,4,1,5
9780060976095,1,4,1,4
9780060976101,1,4,1,1
9780060976118,1,4,1,5
9780060976729,1,4,1,2
9780060977085,1,4,1,1
9780060977665,1,4,1,1
9780060987329,1,4,1,1
9780060987466,1,4,1,2
9780060987527,1,4,1,2
9780060989156,1,4,1,2
9780060997021,1,4,1,5
9780061015625,1,4,1,4
9780061020094,1,4,1,5
9780061020575,1,4,1,4
9780061030659,1,4,2,3
9780061052392,1,4,2,4
9780061053566,1,4,2,4
9780061053665,1,4,2,1
9780061056000,1,4,2,5
9780061059476,1,4,2,3
9780061093982,1,4,2,5
9780061093999,1,4,2,4
9780061094231,1,4,2,3
9780061096853,1,4,2,1
9780061120060,1,4,2,1
9780061120091,1,4,2,5
9780061120251,1,4,2,2
9780061122095,1,4,2,3
9780061124266,1,4,2,5
9780061125935,1,4,2,2
9780061131622,1,4,2,5
9780061137365,1,4,3,5
9780061139376,1,4,3,2
9780061139635,1,4,3,2
9780061140501,1,4,3,2
9780061140532,1,4,3,2
9780061142024,1,4,3,2
9780061144899,1,4,3,2
9780061145391,1,4,3,2
9780061150142,1,4,3,1
9780061159176,1,4,3,1
9780061177590,1,4,3,5
9780061196676,1,4,3,4
9780061196683,1,4,3,2
9780061198755,1,4,3,5
9780061205699,1,4,3,2
9780061208492,1,4,3,4
9780061238239,1,4,3,4
9780061312113,1,4,3,1
9780062507549,1,4,3,4
9780062508119,1,4,3,3
9780062508867,1,4,4,5
9780062511119,1,4,4,3
9780062512796,1,4,4,4
9780062513342,1,4,4,4
9780062516374,1,4,4,5
9780062545039,1,4,4,5
9780062700254,1,4,4,5
9780064300896,1,4,4,5
9780064400961,1,4,4,5
9780064400992,1,4,4,4
9780064401104,1,4,4,4
9780064401586,1,4,4,4
9780064401685,1,4,4,4
9780064402453,1,4,4,1
9780064403870,1,4,5,5
9780064404419,1,4,5,2
9780064405447,1,4,5,1
9780064405454,1,4,5,1
9780064405713,1,4,5,1
9780064405850,1,4,5,5
9780064405959,1,4,5,3
9780064406307,1,4,5,1
9780064407144,1,4,5,4
9780064407311,1,4,5,1
9780064408585,1,4,5,1
9780064408677,1,4,5,1
9780064408745,1,4,5,3
9780064409902,1,4,5,3
9780064410342,1,4,5,3
9780064410724,1,4,5,2
9780064410939,1,4,5,1
9780064420808,1,4,5,1
